Product code;Language;Product id;Category;List price;Price;Weight;Quantity;Min quantity;Shipping freight;Date added;Downloadable;Files;Ship downloadable;Inventory tracking;Free shipping;Zero price action;Thumbnail;Detailed image;Product name;Description;Meta keywords;Meta description;Search words;Page title;Taxes;Features;Options;Secondary categories;Pay by points;Override points;Override exchange rate;SEO name;Short description;Status
10101088;ru;12;Тонеры///Тонеры цветные;0.00;2277.5544;0.00;4.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный CP1025 (Hi-Color) Тип 1.0, Y, Сферизованный, 585 г, канистра;Товары TOP80 HP CLJ 2600/3000/3500/3550/3600/3700/3800/4600/4700, CP1025/Pro 100 Col M175, CM1300/CM1312/CP1210/CP1215/CP1515/CP1518/CP1525/CM1415/CP3525/CP4005/CP5225, Canon LBP 5000/5050/MF8050/LBP 7010/7018//LBP7200, Minolta QMS 2300/2400, для картриджей:  Q6002A/ Q2672A/Q6472/Q7582A/C9722A/CE312A/CB542A/CE322A/CC532A/CE252A/CB402A/CE742, Canon № 707/716/№ 718/№ 729;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-CP1025-HiColor-Tip-10-Y-Sferizovannyi-585-g-kanistra;;A
101010900;ru;13;Тонеры///Тонеры цветные;0.00;2393.98896;0.00;11.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM176 (Hi-Black) Тип 2.0, BK, Cферизованный, 585 г, канистра;Товары TOP80 Pro 200 M251/MFPM276, Pro 300 Color M351/M375, Pro400 Color M451 , Pro MFP M176N/M177, Enterprise 500 Color M551, CM1300/CM1312/CP1210/CP1215/CP1515/CP1518/CP2025/CP2026/CM2320/CP3525/CP/4020/CP4025/CP4520/CP4525/CM3530/CM4540/CP5225/CP5525,Canon LBP 5050/MF8050/MF8230/MF8280,для картриджей: CF210A/CE410A/CF350A/CB540A/CC530A/CE250A/CE250X/CE260A/CE740A/CE270A/CE400A/X, Canon № 716/ № 731;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM176-HiBlack-Tip-20-BK-Cferizovannyi-585-g-kanistra;;A
101010910;ru;14;Тонеры///Тонеры цветные;0.00;2393.98896;0.00;8.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM176 (Hi-Color) Тип 2.0, C, Cферизованный, 585 г, канистра;Товары TOP80 Pro 200 M251/MFPM276, Pro 300 Color M351/M375, Pro400 Color M451 , Pro MFP M176N/M177, Enterprise 500 Color M551, CM1300/CM1312/CP1210/CP1215/CP1515/CP1518/CP2025/CP2026/CM2320/CP3525/CP4020/CP4025/CP4520/CP4525/CM3530/CM4540/CP5225/CP5525, Canon LBP 5050/7100/7110c/MF 8050/MF8230/MF8280, для картриджей: CF211A/CE411A/CF351A/CF351A/CB541A/CC531/ACE251A/CE251X/CE261A/CE741A/CE271A/CE401A, Canon № 716/ №731;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM176-HiColor-Tip-20-C-Cferizovannyi-585-g-kanistra;;A
101010920;ru;15;Тонеры///Тонеры цветные;0.00;2393.98896;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM176 (Hi-Color) Тип 2.0, М, Сферизованный, 585 г, канистра;Товары TOP80 Pro 200 M251/MFPM276, Pro 300 Color M351/M375, Pro400 Color M451 , Pro MFP M176N/M177, Enterprise 500 Color M551, CM1300/CM1312/CP1210/CP1215/CP1515/CP1518/CP2025/CP2026/CM2320/CP3525/CP4020/CP4025/CP4520/CP4525/CM3530/CM4540/CP5225/CP5525, Canon LBP 5050/7100/7110c/MF 8050/MF8230/MF8280, для картриджей: CF213A/CE413A/CF353A/CF353A/CB543A/CC533A/CE253A/CE253X/CE263A/CE743A/CE273A/CE403A, Canon № 716/ №731;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM176-HiColor-Tip-20-M-Sferizovannyi-585-g-kanistra;;A
101010930;ru;16;Тонеры///Тонеры цветные;0.00;2393.98896;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM176 (Hi-Color) Тип 2.0, Y, Сферизованный, 585 г, канистра;Товары TOP80 Pro 200 M251/MFPM276, Pro 300 Color M351/M375, Pro400 Color M451 , Pro MFP M176N/M177, Enterprise 500 Color M551, CM1300/CM1312/CP1210/CP1215/CP1515/CP1518/CP2025/CP2026/CM2320/CP3525/CP4020/CP4025/CP4520/CP4525/CM3530/CM4540/CP5225/CP5525, Canon LBP 5050/7100/7110cMF 8050/MF8230/MF8280, для картриджей: CF212A/CE412A/CF352A/CF352A/CB542A/CC532A/CE252A/CE252X/CE262A/CE742A/CE272A/CE402A, Canon № 716/№731;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM176-HiColor-Tip-20-Y-Sferizovannyi-585-g-kanistra;;A
101010940;ru;17;Тонеры///Тонеры черные;0.00;2441.19216;0.00;0.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM252 (Content) Тип 2.1, BK, Сферизованный, 585 г, канистра; HP LJ Color Pro M252/MFP M277/M452/MFP M477, Color Enterprise M552/M553/MFP M577/M750/M775, CP5525, для картриджей: CF400A/CF410A/CF360A/CE270A. Внимание: Рекомендуемый зазор для выставления доктор блейда в картридже находится в пределах 1,2-2.0 мм.  Для каждого цвета выставляется индивидуально,;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM252-Content-Tip-21-BK-Sferizovannyi-585-g-kanistra;;A
101010950;ru;18;Тонеры///Тонеры цветные;0.00;2441.19216;0.00;1.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM252 (Content) Тип 2.1, C, Сферизованный, 585 г, канистра; HP LJ Color Pro M252/MFP M277/M452/MFP M477, Color Enterprise M552/M553/MFP M577/M750/M775, CP5525, для картриджей: CF401A/CF411A/CF361A/CE271A. Внимание: Рекомендуемый зазор для выставления доктор блейда в картридже находится в пределах 1,2-2.0 мм.  Для каждого цвета выставляется индивидуально,;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM252-Content-Tip-21-C-Sferizovannyi-585-g-kanistra;;A
101010960;ru;19;Тонеры///Тонеры цветные;0.00;2441.19216;0.00;1.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM252 (Content) Тип 2.1, M, Сферизованный, 585 г, канистра; HP LJ Color Pro M252/MFP M277/M452/MFP M477, Color Enterprise M552/M553/MFP M577/M750/M775, CP5525, для картриджей: CF403A/CF413A/CF363A/CE273A. Внимание: Рекомендуемый зазор для выставления доктор блейда в картридже находится в пределах 1,2-2.0 мм.  Для каждого цвета выставляется индивидуально,;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM252-Content-Tip-21-M-Sferizovannyi-585-g-kanistra;;A
101010970;ru;20;Тонеры///Тонеры цветные;0.00;2441.19216;0.00;2.00;0;0.00;;N;;N;B;N;R;;;Тонер HP CLJ Универсальный ProM252 (Content) Тип 2.1, Y, Сферизованный, 585 г, канистра; HP LJ Color Pro M252/MFP M277/M452/MFP M477, Color Enterprise M552/M553/MFP M577/M750/M775, CP5525, для картриджей: CF402A/CF412A/CF362A/CE272A. Внимание: Рекомендуемый зазор для выставления доктор блейда в картридже находится в пределах 1,2-2.0 мм.  Для каждого цвета выставляется индивидуально,;;;;;;;;;N;N;N;Toner-HP-CLJ-Universalnyi-ProM252-Content-Tip-21-Y-Sferizovannyi-585-g-kanistra;;A
10102013;ru;21;Тонеры///Тонеры черные;0.00;206.12064;0.00;42.00;0;0.00;;N;;N;B;N;R;;http://b2b.vtt.ru/images/10102013.jpg;Тонер Canon NP 1215/1550/2020/6317/6416 (Hi-Black) NPG-1, 3,8К, туба***;Товар для распродажи NP1015/1215S/1218/1318/1510/1520/1530/1820/2010/2120/ 6020/6116/6216/6220/6221/6318;;;;;;;;;N;N;N;Toner-Canon-NP-12151550202063176416-HiBlack-NPG1-38K-tuba;;A
